ID,name,FoodGroup,Calories,Fat,Protein,Carbohydrate
116,Bread Puri Wheat,Baked Foods,396,24.55,6.21,39.25
117,Bread Raisin,Baked Foods,269,3.04,8.27,52.4
118,Bread Raisin Enriched,Baked Foods,274,4.4,7.9,52.3
119,Bread Raisin Enriched Toasted,Baked Foods,297,4.8,8.6,56.9
120,Bread Raisin Toasted,Baked Foods,296,3.34,9.09,57.58
121,Bread Raisin Unenriched,Baked Foods,274,4.4,7.9,52.3
122,Bread Reduced-Calorie Oat Bran,Baked Foods,201,3.2,8,41.3
123,Bread Reduced-Calorie Oat Bran Toasted,Baked Foods,239,3.8,9.5,49.2
124,Bread Reduced-Calorie Oatmeal,Baked Foods,210,3.5,7.6,43.3
125,Bread Reduced-Calorie Rye,Baked Foods,203,2.9,9.1,40.5
126,Bread Reduced-Calorie Wheat,Baked Foods,217,2.92,13.32,42.47
127,Bread Reduced-Calorie White,Baked Foods,207,2.5,8.7,44.3
128,Bread Rice Bran,Baked Foods,243,4.6,8.9,43.5
129,Bread Rice Bran Toasted,Baked Foods,264,5,9.7,47.3
130,Bread Rice Toasted,Baked Foods,273,5.76,4.74,50.31
131,Bread Roll Mexican Bollilo,Baked Foods,318,5.8,10.65,55.77
132,Bread Rye Toasted,Baked Foods,284,3.6,9.4,53.1
133,Bread Salvadoran Sweet Cheese (Quesadilla Salvadorena),Baked Foods,374,17.12,7.12,47.84
134,Bread Soy,Baked Foods,258,3.45,15.4,42.01
135,Bread Soy Toasted,Baked Foods,284,3.8,16.92,46.16
136,Bread Spanish Coffee,Baked Foods,344,8.68,7.6,58.27
137,Bread Sprouted Wheat Toasted,Baked Foods,207,0,14.46,37.23
138,Bread Sticks Plain,Baked Foods,412,9.5,12,68.4
139,Bread Stuffing Bread Dry Mix,Baked Foods,386,3.4,11,76.2
140,Bread Stuffing Bread Dry Mix Prepared,Baked Foods,195,12.05,2.73,18.84
141,Bread Stuffing Cornbread Dry Mix,Baked Foods,389,4.2,10,76.7
142,Bread Stuffing Cornbread Dry Mix Prepared,Baked Foods,179,8.8,2.9,21.9
143,Bread Sunflower Meal,Baked Foods,304,8.39,9.94,47.41
144,Bread Sunflower Meal Toasted,Baked Foods,334,9.22,10.92,52.1
145,Bread Sweet Potato,Baked Foods,239,2.85,7.4,45.24
146,Bread Sweet Potato Toasted,Baked Foods,263,3.13,8.13,49.72
147,Bread Vegetable,Baked Foods,259,3.19,8.28,48.64
148,Bread Vegetable Toasted,Baked Foods,285,3.5,9.1,53.44
149,Bread Wheat Or Cracked Wheat Made From Home Recipe Or Purchased At Bakery,Baked Foods,263,3.65,8.93,49.23
150,Bread Wheat Or Cracked Wheat Made From Home Recipe Or Purchased At Bakery Toasted,Baked Foods,289,4.01,9.81,54.1
151,Bread Wheat Or Cracked Wheat Toasted,Baked Foods,301,4.98,11.72,52.24
152,Bread Wheat Or Cracked Wheat With Raisins,Baked Foods,285,3.72,7.58,57.38
153,Bread Wheat Or Cracked Wheat With Raisins Toasted,Baked Foods,313,4.09,8.33,63.06
154,Bread Wheat Sprouted,Baked Foods,188,0,13.16,33.88
155,Bread Wheat Sprouted Toasted,Baked Foods,205,0,14.3,36.82
156,Bread Wheat Toasted,Baked Foods,313,4.27,12.96,55.77
157,Bread White Commercially Prepared Low Sodium No Salt,Baked Foods,267,3.6,8.2,49.6
158,Bread White Commercially Prepared Toasted Low Sodium No Salt,Baked Foods,293,4,9,54.4
159,Bread White Low Sodium Or No Salt Toasted,Baked Foods,293,3.96,9.01,54.5
160,Bread White Made From Home Recipe Or Purchased At A Bakery,Baked Foods,270,3.42,8.62,50.09
161,Bread White Made From Home Recipe Or Purchased At A Bakery Toasted,Baked Foods,297,3.76,9.47,55.04
162,Bread White Prepared From Recipe Made With Low Fat (2%) Milk,Baked Foods,285,5.7,7.9,49.6
163,Bread White Prepared From Recipe Made With Nonfat Dry Milk,Baked Foods,274,2.6,7.7,53.6
164,Bread White Special Formula Added Fiber Toasted,Baked Foods,262,2.36,11.71,48.25
165,Bread White Wheat,Baked Foods,238,2.15,10.66,43.91
166,Bread White With Whole Wheat Swirl,Baked Foods,259,3.42,10.65,46.06
167,Bread White With Whole Wheat Swirl Toasted,Baked Foods,298,4.12,11.79,53.41
168,Bread Whole Grain White Toasted,Baked Foods,262,2.36,11.71,48.25
169,Bread Whole Wheat Made From Home Recipe Or Purchased At Bakery,Baked Foods,248,4.09,9.21,47.44
170,Bread Whole Wheat Made From Home Recipe Or Purchased At Bakery Toasted,Baked Foods,272,4.5,10.12,52.13
171,Bread Whole Wheat Toasted,Baked Foods,277,3.85,13.68,46.93
172,Bread Whole Wheat With Raisins,Baked Foods,273,4.07,7.74,56.31
173,Bread Whole Wheat With Raisins Toasted,Baked Foods,301,4.47,8.51,61.88
174,Bread Whole-Wheat Prepared From Recipe,Baked Foods,278,5.4,8.4,51.4
175,Bread Whole-Wheat Prepared From Recipe Toasted,Baked Foods,305,5.9,9.2,56.4
176,Bread Zucchini,Baked Foods,300,12.66,4.92,42.51
177,Cookie Brownie With Icing Or Filling,Baked Foods,401,16.95,2.94,63.55
178,Cookie Butter Or Sugar With Chocolate Icing Or Filling,Baked Foods,503,23.5,4.1,68.83
179,Cookie Butter Or Sugar With Fruit And/or Nuts,Baked Foods,466,20.96,6.59,65.08
180,Cookie Butter Or Sugar With Icing Or Filling Other Than Chocolate,Baked Foods,430,14.62,3.37,72.59
181,Cookie Chocolate Chip Made From Home Recipe Or Purchased At A Bakery,Baked Foods,490,28.18,5.8,59.31
182,Cookie Chocolate With Icing Or Coating,Baked Foods,507,24.2,4.5,67.87
183,Cookie Graham Cracker With Chocolate And Marshmallow,Baked Foods,465,18.57,6.36,68.97
184,Cookie Lemon Bar,Baked Foods,432,18.62,5.01,62.49
185,Cookie Marshmallow And Peanut Butter With Oat Cereal No Bake,Baked Foods,414,9,3.4,80.5
186,Cookie Marshmallow With Rice Cereal No Bake,Baked Foods,414,9,3.4,80.5
187,Cookie Meringue,Baked Foods,339,0.09,5.75,80.75
188,Cookie Oatmeal With Chocolate Chips,Baked Foods,457,20.92,5.72,67.56
189,Cookie Peanut Butter With Chocolate,Baked Foods,475,25.29,7.8,59.51
190,Cookie Peanut Butter With Rice Cereal No Bake,Baked Foods,414,9,3.4,80.5
191,Cookie Shortbread With Icing Or Filling,Baked Foods,515,28.31,5.05,62.6
192,Cookie Vanilla With Caramel Coconut And Chocolate Coating,Baked Foods,489,25.8,3.5,64.1
193,Cookie With Peanut Butter Filling Chocolate-Coated,Baked Foods,562,35.3,8.1,52.9
194,Cookies Animal Crackers (Includes Arrowroot Tea Biscuits),Baked Foods,446,13.8,6.9,74.1
195,Cookies Animal With Frosting Or Icing,Baked Foods,509,24.1,3,70.09
196,Cookies Brownies Commercially Prepared,Baked Foods,405,16.3,4.8,63.9
197,Cookies Brownies Commercially Prepared Reduced Fat With Added Fiber,Baked Foods,345,9.68,2.77,61.58
198,Cookies Brownies Dry Mix Regular,Baked Foods,434,14.9,4,76.6
199,Cookies Brownies Dry Mix Sugar Free,Baked Foods,426,12.5,2.9,80.4
200,Cookies Brownies Prepared From Recipe,Baked Foods,466,29.1,6.2,50.2
201,Cookies Butter Commercially Prepared Enriched,Baked Foods,467,18.8,6.1,68.9
202,Cookies Butter Commercially Prepared Unenriched,Baked Foods,467,18.8,6.1,68.9
203,Cookies Chocolate Chip Commercially Prepared Regular Higher Fat Enriched,Baked Foods,492,24.72,5.1,65.36
204,Cookies Chocolate Chip Commercially Prepared Regular Higher Fat Unenriched,Baked Foods,481,22.6,5.4,66.8
205,Cookies Chocolate Chip Commercially Prepared Regular Lower Fat,Baked Foods,451,17.91,5.97,67.49
206,Cookies Chocolate Chip Commercially Prepared Soft-Type,Baked Foods,444,19.77,3.63,65.75
207,Cookies Chocolate Chip Commercially Prepared Special Dietary,Baked Foods,450,16.8,3.9,73.4
208,Cookies Chocolate Chip Dry Mix,Baked Foods,497,25.2,4.6,66.1
209,Cookies Chocolate Chip Prepared From Recipe Made With Butter,Baked Foods,488,28.4,5.7,58.2
210,Cookies Chocolate Chip Prepared From Recipe Made With Margarine,Baked Foods,488,28.3,5.7,58.4
211,Cookies Chocolate Chip Refrigerated Dough,Baked Foods,451,21.33,3.98,61.02
212,Cookies Chocolate Chip Refrigerated Dough Baked,Baked Foods,492,22.6,4.9,68.2
213,Cookies Chocolate Chip Sandwich With Creme Filling,Baked Foods,425,17.65,2.94,63.52
214,Cookies Chocolate Cream Covered Biscuit Sticks,Baked Foods,447,22.5,10,51.08
215,Cookies Chocolate Made With Rice Cereal,Baked Foods,440,19.35,3.23,63.26
216,Cookies Chocolate Sandwich With Creme Filling Reduced Fat,Baked Foods,436,13.24,2.94,76.17
217,Cookies Chocolate Sandwich With Creme Filling Regular,Baked Foods,464,19.14,5.21,71
218,Cookies Chocolate Sandwich With Creme Filling Regular Chocolate-Coated,Baked Foods,481,26.4,3.6,66.4
219,Cookies Chocolate Sandwich With Creme Filling Special Dietary,Baked Foods,461,22.1,4.5,68
220,Cookies Chocolate Sandwich With Extra Creme Filling,Baked Foods,497,24.52,4.33,68.2
221,Cookies Chocolate Wafers,Baked Foods,433,14.2,6.6,72.7
222,Cookies Coconut Macaroon,Baked Foods,460,22.55,3.02,61.22
223,Cookies Fudge Cake-Type (Includes Trolley Cakes),Baked Foods,349,3.7,5,78.3
224,Cookies Gluten-Free Chocolate Sandwich With Creme Filling,Baked Foods,474,17.89,2.19,76.03
225,Cookies Gluten-Free Chocolate Wafer,Baked Foods,541,30.42,4.06,62.82
226,Cookies Gluten-Free Lemon Wafer,Baked Foods,515,24.18,0,74.39
227,Cookies Gluten-Free Vanilla Sandwich With Creme Filling,Baked Foods,493,20.47,2.66,74.61
228,Cookies Graham Crackers Plain Or Honey Lowfat,Baked Foods,386,5.71,5.71,77.96
229,Cookies Ladyfingers Without Lemon Juice And Rind,Baked Foods,363,9.1,10.6,59.7
230,Cookies Marie Biscuit,Baked Foods,406,10.58,7.05,70.54
231,Cookies Marshmallow With Rice Cereal And Chocolate Chips,Baked Foods,435,18.18,4.55,63.26
232,Cookies Oatmeal Commercially Prepared Soft-Type,Baked Foods,409,14.7,6.1,65.7
233,Cookies Oatmeal Commercially Prepared Special Dietary,Baked Foods,449,18,4.8,69.9
234,Cookies Oatmeal Dry Mix,Baked Foods,462,19.2,6.5,67.3
235,Cookies Oatmeal Prepared From Recipe With Raisins,Baked Foods,441,15.76,5.86,68.95
236,Cookies Oatmeal Prepared From Recipe Without Raisins,Baked Foods,447,17.9,6.8,66.4
237,Cookies Oatmeal Reduced Fat,Baked Foods,365,10.04,4.02,64.62
238,Cookies Oatmeal Refrigerated Dough,Baked Foods,424,18.9,5.4,59.1
239,Cookies Oatmeal Refrigerated Dough Baked,Baked Foods,471,21,6,65.7
240,Cookies Oatmeal Sandwich With Creme Filling,Baked Foods,398,18.29,2.61,55.62
241,Cookies Peanut Butter Commercially Prepared Regular,Baked Foods,473,23.82,8.92,58.15
242,Cookies Peanut Butter Commercially Prepared Soft-Type,Baked Foods,457,24.4,5.3,57.7
243,Cookies Peanut Butter Commercially Prepared Sugar Free,Baked Foods,523,31.03,10.34,50.52
244,Cookies Peanut Butter Prepared From Recipe,Baked Foods,475,23.8,9,58.9
245,Cookies Peanut Butter Refrigerated Dough,Baked Foods,458,25,8.2,52.1
246,Cookies Peanut Butter Refrigerated Dough Baked,Baked Foods,503,27.5,9.1,57.3
247,Cookies Peanut Butter Sandwich Regular,Baked Foods,478,21.1,8.8,65.6
248,Cookies Peanut Butter Sandwich Special Dietary,Baked Foods,535,34,10,50.8
249,Cookies Puerto Rican Style,Baked Foods,508,24,5.91,66.49
250,Cookies Raisin Soft-Type,Baked Foods,401,13.6,4.1,68
251,Cookies Shortbread Commercially Prepared Pecan,Baked Foods,542,32.5,4.9,58.3
252,Cookies Shortbread Commercially Prepared Plain,Baked Foods,514,26.22,5.37,63.78
253,Cookies Shortbread Reduced Fat,Baked Foods,451,14,5.37,75.99
254,Cookies Sugar Commercially Prepared Regular (Includes Vanilla),Baked Foods,464,19.55,5.35,67.34
255,Cookies Sugar Refrigerated Dough,Baked Foods,436,19.48,4,61.22
256,Cookies Sugar Refrigerated Dough Baked,Baked Foods,489,23.1,4.7,65.6
257,Cookies Sugar Wafer Chocolate-Covered,Baked Foods,526,27.59,3.45,65.99
258,Cookies Sugar Wafer With Creme Filling Sugar Free,Baked Foods,531,28.57,3.57,66.26
259,Cookies Sugar Wafers With Creme Filling Regular,Baked Foods,502,23.24,3.84,70.64
260,Cookies Vanilla Sandwich With Creme Filling,Baked Foods,483,20,4.5,72.1
261,Cookies Vanilla Sandwich With Creme Filling Reduced Fat,Baked Foods,423,10.42,4.17,78.16
262,Cookies Vanilla Wafers Higher Fat,Baked Foods,455,16.41,4.9,72.6
263,Cookies Vanilla Wafers Lower Fat,Baked Foods,441,15.2,5,73.6
264,Crackers Cheese Low Sodium,Baked Foods,503,25.3,10.1,58.2
265,Crackers Cheese Reduced Fat,Baked Foods,418,11.67,10,68.19
266,Crackers Cheese Regular,Baked Foods,489,22.74,10.93,59.42
267,Crackers Cheese Sandwich-Type With Cheese Filling,Baked Foods,490,24.41,8.92,58.76
268,Crackers Cheese Sandwich-Type With Peanut Butter Filling,Baked Foods,496,25.12,12.41,56.74
269,Crackers Cheese Whole Grain,Baked Foods,412,16.03,9.62,57.29
270,Crackers Cream Gamesa Sabrosas,Baked Foods,484,20.37,7.01,64.55
271,Crackers Cream La Moderna Rikis Cream Crackers,Baked Foods,464,19.5,7.19,64.88
272,Crackers Flavored Fish-Shaped,Baked Foods,463,17.71,10.16,65.67
273,Crackers Gluten-Free Multigrain And Vegetable Made With Corn Starch And White Rice Flour,Baked Foods,456,15.41,2.5,76.94
274,Crackers Gluten-Free Multi-Seeded And Multigrain,Baked Foods,453,15.84,11.25,66.3
275,Crackers Matzo Egg And Onion,Baked Foods,391,3.9,10,77.1
276,Crackers Matzo Whole-Wheat,Baked Foods,351,1.5,13.1,78.9
277,Crackers Melba Toast Plain Without Salt,Baked Foods,390,3.2,12.1,76.6
278,Crackers Milk,Baked Foods,446,13.77,7.6,71.73
279,Crackers Multigrain,Baked Foods,482,20.4,7.1,67.6
280,Crackers Rusk Toast,Baked Foods,407,7.2,13.5,72.3
281,Crackers Rye Sandwich-Type With Cheese Filling,Baked Foods,481,22.3,9.2,60.8
282,Crackers Rye Wafers Plain,Baked Foods,334,0.9,9.6,80.4
283,Crackers Rye Wafers Seasoned,Baked Foods,381,9.2,9,73.8
284,Crackers Saltines (Includes Oyster Soda Soup),Baked Foods,418,8.64,9.46,74.05
285,Crackers Saltines Fat-Free Low-Sodium,Baked Foods,393,1.6,10.5,82.3
286,Crackers Saltines Low Salt (Includes Oyster Soda Soup),Baked Foods,421,8.85,9.5,74.34
287,Crackers Saltines Unsalted Tops (Includes Oyster Soda Soup),Baked Foods,434,11.8,9.2,71.5
288,Crackers Saltines Whole Wheat (Includes Multi-Grain),Baked Foods,398,10.71,7.14,68.25
289,Crackers Sandwich-Type Peanut Butter Filled Reduced Fat,Baked Foods,437,16.67,8.33,63.49
290,Crackers Snack Goya Crackers,Baked Foods,433,13.35,14.25,64.35
291,Crackers Standard Snack-Type Regular,Baked Foods,510,26.43,6.64,61.3
292,Crackers Standard Snack-Type Regular Low Salt,Baked Foods,502,25.3,7.4,61
293,Crackers Standard Snack-Type Sandwich With Cheese Filling,Baked Foods,477,21.1,9.3,61.7
294,Crackers Standard Snack-Type Sandwich With Peanut Butter Filling,Baked Foods,494,24.54,11.47,58.38
295,Crackers Standard Snack-Type With Whole Wheat,Baked Foods,463,17.84,7.29,68.37
296,Crackers Toast Thins Low Sodium,Baked Foods,442,16.13,6.45,67.66
297,Crackers Water Biscuits,Baked Foods,384,7.14,7.14,72.81
298,Crackers Wheat Low Salt,Baked Foods,473,20.6,8.6,64.9
299,Crackers Wheat Reduced Fat,Baked Foods,444,13.37,9.34,71.52
300,Crackers Wheat Regular,Baked Foods,455,16.4,7.3,70.73
301,Crackers Wheat Sandwich With Cheese Filling,Baked Foods,497,25,9.8,58.2
302,Crackers Wheat Sandwich With Peanut Butter Filling,Baked Foods,495,26.7,13.5,53.8
303,Crackers Whole Grain Sandwich-Type With Peanut Butter Filling,Baked Foods,465,21.18,14.12,54.59
304,Crackers Whole-Wheat,Baked Foods,427,14.13,10.58,69.55
305,Crackers Whole-Wheat Low Salt,Baked Foods,443,17.2,8.8,68.6
306,Crackers Whole-Wheat Reduced Fat,Baked Foods,416,7.59,11.34,75.52
3507,Oatmeal Cookies,Baked Foods,450,18.1,6.2,68.7
3508,Pancakes Buttermilk Prepared From Recipe,Baked Foods,227,9.3,6.8,28.7
3509,Pancakes Gluten-Free Frozen Ready-To-Heat,Baked Foods,215,4.55,3.31,40.32
3510,Pancakes Plain Dry Mix Complete (Includes Buttermilk),Baked Foods,368,3.1,9.77,73.65
3511,Pancakes Plain Dry Mix Complete Prepared,Baked Foods,194,2.5,5.2,36.7
3512,Pancakes Plain Dry Mix Incomplete (Includes Buttermilk),Baked Foods,355,1.7,10,73.6
3513,Pancakes Plain Dry Mix Incomplete Prepared,Baked Foods,218,7.7,7.8,28.9
3514,Pancakes Plain Frozen Ready-To-Heat (Includes Buttermilk),Baked Foods,233,6.83,5.23,37.75
3515,Pancakes Plain Frozen Ready-To-Heat Microwave (Includes Buttermilk),Baked Foods,239,4.73,5.88,43.33
3516,Pancakes Plain Prepared From Recipe,Baked Foods,227,9.7,6.4,28.3
3517,Pancakes Plain Reduced Fat,Baked Foods,269,1.9,5.71,57.32
3518,Pancakes Special Dietary Dry Mix,Baked Foods,349,1.4,8.9,73.9
3519,Pancakes Whole Wheat Dry Mix Incomplete,Baked Foods,350,1.32,10.53,74.11
3520,Pancakes Whole-Wheat Dry Mix Incomplete,Baked Foods,344,1.5,12.8,71
3521,Pancakes Whole-Wheat Dry Mix Incomplete Prepared,Baked Foods,208,6.5,8.5,29.4
602,Oatmeal Ns As To Regular Quick Or Instant Fat Added In Cooking,Breakfast Cereals,76,2.57,2.18,11.17
603,Oatmeal Ns As To Regular Quick Or Instant Ns As To Fat Added In Cooking,Breakfast Cereals,76,2.57,2.18,11.17
604,Oatmeal Regular Or Quick Made With Water Fat Added In Cooking,Breakfast Cereals,76,2.57,2.18,11.17
